Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guled Arale,Mohsin Bhuiyan,Bill Blair,Amanda Cain,Ramona Pache,David Edward-Ooi Poon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 57","Toronto",Merged with No./Fusionné avec le n°55,,,,,,,,504
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 58","Toronto",35,57,143,4,5,0,1,245,404
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 59","Toronto",Merged with No./Fusionné avec le n°56,,,,,,,,339
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 60","Toronto",Merged with No./Fusionné avec le n°58,,,,,,,,367
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 61","Toronto",42,47,189,4,3,0,2,287,520
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 62","Toronto",Merged with No./Fusionné avec le n°49,,,,,,,,511
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 63","Toronto",61,23,92,3,10,1,0,190,386
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 64","Toronto",Merged with No./Fusionné avec le n°63,,,,,,,,374
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 65","Toronto",38,57,153,5,8,1,1,263,352
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 66","Toronto",73,91,186,10,10,2,1,373,430
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 67","Toronto",Merged with No./Fusionné avec le n°66,,,,,,,,464
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 68","Toronto",51,76,121,6,15,1,0,270,491
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 69","Toronto",75,82,259,9,10,0,0,435,879
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 70","Toronto",Merged with No./Fusionné avec le n°61,,,,,,,,523
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 71","Toronto",Merged with No./Fusionné avec le n°69,,,,,,,,394
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 72","Toronto",Merged with No./Fusionné avec le n°68,,,,,,,,372
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 73","Toronto",Merged with No./Fusionné avec le n°90,,,,,,,,535
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 74","Toronto",58,84,184,6,14,0,2,348,496
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 75","Toronto",38,70,103,8,9,1,0,229,386
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 76","Toronto",Merged with No./Fusionné avec le n°75,,,,,,,,484
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 77","Toronto",Merged with No./Fusionné avec le n°74,,,,,,,,398
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 78","Toronto",46,110,151,11,12,1,3,334,396
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 79","Toronto",Merged with No./Fusionné avec le n°78,,,,,,,,366
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 80","Toronto",63,103,173,12,15,1,0,367,363
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 81","Toronto",Merged with No./Fusionné avec le n°80,,,,,,,,386
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 82","Toronto",70,62,132,11,19,0,1,295,361
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 83","Toronto",74,96,145,7,18,0,0,340,418
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 84","Toronto",Merged with No./Fusionné avec le n°83,,,,,,,,495
