Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Erika Alexander,Georgia Beauchemin,John-Paul Danko,Jim Enos,Roberto Henriquez,Ava Sharavi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 72","Hamilton",64,1,102,0,4,0,1,172,389
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 73","Hamilton",138,2,176,1,8,0,0,325,755
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 74","Hamilton",77,1,122,0,13,1,2,216,372
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 75","Hamilton",50,2,81,0,5,2,0,140,395
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 76","Hamilton",57,1,83,0,17,0,0,158,385
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 77","Hamilton",64,6,53,1,8,1,0,133,382
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 78","Hamilton",56,2,47,0,11,1,0,117,328
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 79","Hamilton",52,1,72,0,13,0,0,138,412
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 80","Hamilton",73,1,76,3,14,1,2,170,450
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 81","Hamilton",73,4,95,1,16,0,1,190,444
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 82","Hamilton",74,1,57,0,9,3,1,145,390
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 83","Hamilton",68,5,65,0,5,0,0,143,439
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 84","Hamilton",116,3,151,2,6,1,0,279,583
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 85","Hamilton",64,3,83,2,18,0,2,172,463
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 86","Hamilton",84,2,94,0,10,2,1,193,512
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 87","Hamilton",66,1,79,0,3,1,1,151,486
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 88","Hamilton",57,5,77,0,10,4,0,153,356
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 89","Hamilton",92,6,92,2,9,3,1,205,567
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 90","Hamilton",51,4,77,0,11,2,1,146,447
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 91","Hamilton",62,2,56,0,15,2,0,137,362
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 92","Hamilton",72,2,64,1,17,1,0,157,374
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 93","Hamilton",58,1,46,0,9,2,1,117,338
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 94","Hamilton",60,5,91,3,16,0,0,175,483
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 95","Hamilton",51,5,87,2,25,3,0,173,429
