Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nahed AlShawa,Luc Bertrand,Claude Debellefeuille,Marc Faubert,Joan Gottman,Cynthia Larivière,Alain Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 183","Saint-Chrysostome",2,0,62,33,4,22,1,7,131,367
24071,"Salaberry--Suroît/Salaberry--Suroît"," 184","Saint-Stanislas-de-Kostka",5,0,98,43,7,25,3,1,182,360
24071,"Salaberry--Suroît/Salaberry--Suroît"," 185","Saint-Stanislas-de-Kostka",4,0,65,32,11,19,1,3,135,233
24071,"Salaberry--Suroît/Salaberry--Suroît"," 186","Rivière-Beaudette",12,0,125,67,26,28,9,3,270,491
24071,"Salaberry--Suroît/Salaberry--Suroît"," 187","Rivière-Beaudette",5,1,84,44,20,26,5,10,195,385
24071,"Salaberry--Suroît/Salaberry--Suroît"," 188","Rivière-Beaudette",3,1,54,44,8,12,4,1,127,261
24071,"Salaberry--Suroît/Salaberry--Suroît"," 189","Rivière-Beaudette",10,2,98,41,19,21,4,9,204,405
24071,"Salaberry--Suroît/Salaberry--Suroît"," 190","Rivière-Beaudette",2,0,69,41,11,15,2,1,141,316
24071,"Salaberry--Suroît/Salaberry--Suroît"," 191","Saint-Stanislas-de-Kostka",4,0,70,47,3,8,0,6,138,308
24071,"Salaberry--Suroît/Salaberry--Suroît"," 192","Saint-Stanislas-de-Kostka",6,0,99,72,7,14,2,3,203,455
24071,"Salaberry--Suroît/Salaberry--Suroît"," 193","Sainte-Barbe",2,2,80,48,7,10,3,0,152,328
24071,"Salaberry--Suroît/Salaberry--Suroît"," 194","Sainte-Barbe",3,0,62,34,7,15,1,3,125,271
24071,"Salaberry--Suroît/Salaberry--Suroît"," 195","Sainte-Barbe",2,0,106,49,2,6,3,4,172,392
24071,"Salaberry--Suroît/Salaberry--Suroît"," 196","Sainte-Barbe",2,2,100,35,5,17,1,3,165,365
24071,"Salaberry--Suroît/Salaberry--Suroît"," 197","Hemmingford",3,1,54,50,15,17,2,1,143,370
24071,"Salaberry--Suroît/Salaberry--Suroît"," 198","Hemmingford",9,2,36,53,19,24,4,4,151,341
